14.0, -0.003344, -0.003214, -0.002006, -0.003238, -0.00321
14.05, -0.002118, -0.002274, -0.002007, -0.001958, -0.002244
14.1, -0.000177, -0.000162, -0.000151, 0.000108, 0.000104
14.15, 0.003739, 0.003841, 0.004148, 0.003969, 0.004348
14.2, 0.012487, 0.012294, 0.012606, 0.013156, 0.012721
14.25, 0.03147, 0.032579, 0.03207, 0.032617, 0.031868
14.3, 0.07104, 0.076024, 0.073661, 0.073573, 0.072823
14.35, 0.14146, 0.14467, 0.14815, 0.14676, 0.15008
14.4, 0.23189, 0.22917, 0.23068, 0.23259, 0.22921
14.45, 0.23441, 0.23953, 0.23624, 0.23579, 0.23381
14.5, 0.15349, 0.15002, 0.15, 0.15054, 0.15242
14.55, 0.18924, 0.1836, 0.18792, 0.18942, 0.18675
14.6, 0.1938, 0.1932, 0.19429, 0.1921, 0.19026
14.65, 0.17647, 0.17674, 0.18004, 0.17483, 0.17516
14.7, 0.17982, 0.17688, 0.17875, 0.17889, 0.17552
14.75, 0.19915, 0.20071, 0.20065, 0.20077, 0.19977
14.8, 0.17358, 0.17399, 0.17603, 0.17377, 0.17424
14.85, 0.16954, 0.17029, 0.17105, 0.17145, 0.17009
14.9, 0.1791, 0.1814, 0.1812, 0.18157, 0.17941
14.95, 0.18238, 0.18099, 0.18613, 0.18302, 0.18497
15.0, 0.18148, 0.18353, 0.1813, 0.18251, 0.1854

